M1_BLUEPRINT_1,M1_BLUEPRINT_2,M1_BLUEPRINT_3,M1_FANTOM_1,M1_FANTOM_2,M1_FANTOM_3,M2_BLUEPRINT_1,M2_BLUEPRINT_2,M2_BLUEPRINT_3,M2_HPCA_1,M2_HPCA_2,M2_HPCA_3
ACP2,ACP2,ACP2,ACP2,ACP2,ACP2,ACP2,CLCN7,ACP2,ADRA2B,ADRA2B,ADRA2B
ABCD1,ABCD1,ADRA2B,ADRA2B,ADCY3,ADCY3,ADCY3,FGR,ALK,AP1B1,DNASE1L3,CD52
C1QA,FDX1,ALCAM,ALCAM,ADRA2B,ADRA2B,ABCD1,GLB1,ARSB,ALDH9A1,FDX1,GPD1
FDX1,CCL8,ABCD1,TSPO,ALCAM,ALCAM,ALK,HEXA,ATP6V0A1,ANXA11,GPD1,MSR1
CCL22,CCL22,ATOX1,C3AR1,TSPO,ABCD1,ARSB,HEXB,CD63,AQP8,GUCA1A,NPR1
CD163,CD163,ATP6V0C,DAGLA,C1QA,ANXA2,ATP2A2,HS3ST2,CLCN7,CD52,KCNJ1,UCP3
SCAMP2,ADAMDEC1,ATP6V1E1,CALR,C1QB,ATP6V1A,ATP6V1C1,FKBP15,TPP1,ELK1,MSR1,HS3ST2
ADAMDEC1,TREM2,BLVRA,CHIT1,C3AR1,C1QA,ATP6V0A1,PQLC2,SLC31A1,FH,PDE1B,MYO15A
ARL8B,HAMP,C1QA,CYBB,DAGLA,C1QB,TSPO,TMEM70,FGR,FLT1,UCP3,
HAMP,,CD48,CYC1,CD63,C3AR1,CAMP,SLC38A7,GLB1,GPD1,HS3ST2,
,,CD63,CYP19A1,CHIT1,DAGLA,CANX,,HADHB,NCKAP1L,SDS,
,,CLCN7,DLAT,CMKLR1,CD80,CD63,,NCKAP1L,HEXB,MS4A4A,
,,TPP1,FCER1G,SLC31A1,CD63,CD81,,HEXA,KCNJ1,TREM2,
,,CLTC,GP1BA,CSF1,CHIT1,CLCN7,,HEXB,LAMP1,DNASE2B,
,,CCR1,GPD1,CSF1R,CMKLR1,TPP1,,IFNAR1,MMP19,MYOZ1,
,,CMKLR1,IFNAR1,CYBB,SLC31A1,SLC31A1,,KCNJ5,MSR1,,
,,SLC31A1,IL10,CYC1,CSF1,FDX1,,MYO9B,NDUFB1,,
,,COX5B,KCNJ5,CYP19A1,CSF1R,FGR,,P2RX7,NPR1,,
,,FCER1G,KIFC3,FANCE,CYBB,FTL,,SDCBP,PDE1B,,
,,FDX1,MT2A,FCER1G,CYC1,GLB1,,MARCO,PEX19,,
,,FOLR2,MYBPH,FDX1,CYP19A1,HADHB,,ATP6V0D1,S100A6,,
,,FPR3,MYH11,FPR3,FANCE,NCKAP1L,,HS3ST2,SLC6A7,,
,,FTL,MYO7A,FTL,FDX1,HEXA,,PDCD6IP,SLC6A12,,
,,HEXB,P2RX7,GP1BA,FPR2,HEXB,,COL4A3BP,SNAPC2,,
