Gene,"HGNC Symbol","Friendly Name","Entrez ID","Gene Family","Super Category","Immune Checkpoint",Function
ADORA2A,ADORA2A,ADORA2A,135,Receptor,Receptor,Inhibitory,
ARG1,ARG1,ARG1,383,Enzyme,Other,Inhibitory,"Immune suppression"
BTLA,BTLA,BTLA,151888,Immunoglobulin,Receptor,Inhibitory,
BTN3A1,BTN3A1,BTN3A1,11119,Butyrophilins,Co-inhibitor,Stimulatory,"Activation of γδ T cells"
BTN3A2,BTN3A2,BTN3A2,11118,Butyrophilins,Co-inhibitor,Stimulatory,"Higher expression leads to increased CD4+ infiltration"
"CCL5 (RANTES)",CCL5,RANTES,6352,Chemokine,Ligand,Stimulatory,
"CD27 (TNFRSF7)",CD27,CD27,939,TNFR,Receptor,Stimulatory,
"CD274 (PD-L1)",CD274,PD-L1,29126,B7/CD28,Co-inhibitor,Inhibitory,
"CD276 (B7-H3)",CD276,CD276,80381,B7/CD28,Co-inhibitor,Inhibitory,
CD28,CD28,CD28,940,B7/CD28,Co-stimulator,Stimulatory,
CD40,CD40,CD40,958,TNFR,Receptor,Stimulatory,
CD40LG,CD40LG,CD40LG,959,TNF,Ligand,Stimulatory,
CD70,CD70,CD70,970,TNF,Ligand,Stimulatory,
"CD80 (B7-1)",CD80,CD80,941,B7/CD28,Co-stimulator,Stimulatory,"T cell activation"
CTLA4,CTLA4,CTLA4,1493,Receptor,Receptor,Inhibitory,
CX3CL1,CX3CL1,CX3CL1,6376,"CXC chemokine",Ligand,Stimulatory,
"CXCL10 (IP-10)",CXCL10,IP-10,3627,"CXC chemokine",Ligand,Stimulatory,
CXCL9,CXCL9,CXCL9,4283,"CXC chemokine",Ligand,Stimulatory,
EDNRB,EDNRB,EDNRB,1910,Receptor,Receptor,Inhibitory,"Suppress T cell adhesion and homing"
ENTPD1,ENTPD1,ENTPD1,953,Ectonucleotidase,Other,Inhibitory,"Immune suppression"
GZMA,GZMA,GZMA,3001,Granzyme,Other,Stimulatory,Granzyme
"HAVCR2 (TIM-3)",HAVCR2,TIM-3,84868,Immunoglobulin,Receptor,Inhibitory,
HLA-A,HLA-A,HLA-A,3105,"MHC Class I","Antigen presentation",,"MHC Class I"
HLA-B,HLA-B,HLA-B,3106,"MHC Class I","Antigen presentation",,"MHC Class I"
HLA-C,HLA-C,HLA-C,3107,"MHC Class I","Antigen presentation",,"MHC Class I"
HLA-DPA1,HLA-DPA1,HLA-DPA1,3113,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DPB1,HLA-DPB1,HLA-DPB1,3115,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DQA1,HLA-DQA1,HLA-DQA1,3117,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DQA2,HLA-DQA2,HLA-DQA2,3118,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DQB1,HLA-DQB1,HLA-DQB1,3119,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DQB2,HLA-DQB2,HLA-DQB2,3120,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DRA,HLA-DRA,HLA-DRA,3122,"MHC Class II","Antigen presentation",,"MHC Class II"
HLA-DRB1,HLA-DRB1,HLA-DRB1,3123,"MHC Class II","Antigen presentation",,"MHC Class II"
